eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.36087155809381777,435,500
ball_cross_template,1,0.27268920755316917,349,500
ball_cross_template,2,0.4373428436206268,441,500
ball_cross_template,3,0.38324561097228255,395,500
ball_cross_template,4,0.22755398957526715,263,500
ball_cross_template,5,0.3995506923384819,383,500
ball_cross_template,6,0.29386254626610364,323,500
ball_cross_template,7,0.2709984611712692,422,500
ball_cross_template,8,0.19592974065461366,298,500
ball_cross_template,9,0.3686356408847089,351,500
ball_within_template,0,0.3828823997179686,392,500
ball_within_template,1,0.4037076299123876,406,500
ball_within_template,2,0.39868160256652135,415,500
ball_within_template,3,0.3865402986714102,398,500
