eval_setup,fold_id,AUCESS,Solved,Total,Percent_Solved
ball_cross_template,0,0.3630890586860914,399,500,0.798
ball_cross_template,1,0.25501067456598475,295,500,0.59
ball_cross_template,2,0.4218600427364662,406,500,0.812
ball_cross_template,3,0.3843980294856734,376,500,0.752
ball_cross_template,4,0.22292595772990176,251,500,0.502
ball_cross_template,5,0.4119063510652445,355,500,0.71
ball_cross_template,6,0.28820484291570336,302,500,0.604
ball_cross_template,7,0.28795050890622653,338,500,0.676
ball_cross_template,8,0.19790402408188293,258,500,0.516
ball_cross_template,9,0.35504738051888146,336,500,0.672
ball_within_template,0,0.3080635251670751,326,500,0.652
ball_within_template,1,0.32227760766927305,323,500,0.646
ball_within_template,2,0.320325988592874,322,500,0.644
ball_within_template,3,0.32513584532342193,328,500,0.656
ball_within_template,4,0.3174178452071995,329,500,0.658
ball_within_template,5,0.3141322966353041,330,500,0.66
ball_within_template,6,0.3027638735654583,322,500,0.644
ball_within_template,7,0.31997778643968006,323,500,0.646
ball_within_template,8,0.33735002570593914,332,500,0.664
ball_within_template,9,0.3101580101216674,309,500,0.618
